system:index,control_P95_C,control_mean_C,control_median_C,control_valid_pixels,date,delta_P95_C,delta_median_C,month,scene_count,site_P90_C,site_P95_C,site_max_C,site_mean_C,site_median_C,site_valid_pixels,year,.geo,pixel_coverage_fraction,good_pixel_coverage,monthly_median_delta,monthly_MAD_delta,robust_Z,thermal_class
17,43.0676780091892,36.5686014439877,35.81555427044687,3457,2018-10-11,3.6858253095531808,0.5748574395531563,10,2,38.78587406000005,39.50137958000005,40.32854042000002,36.36380056153928,36.39041171000002,253,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8605442176870748,True,9.02100873857114,3.5487631469695557,-1.014024259708122,Background range
18,45.57144129800002,38.85645865545002,38.183987518362905,2567,2018-10-27,5.634351321637119,2.1690487116371173,10,2,43.541479220000014,43.81833884000002,44.66771681000003,40.29977977992457,40.35303623000002,184,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",0.6258503401360545,True,9.02100873857114,3.5487631469695557,-0.643680358094766,Background range
19,38.56123419000002,33.414960490216984,33.6838636203388,2211,2018-11-12,10.354937509661228,4.771824852950168,11,2,43.54090955000001,44.03880113000002,44.62157354000004,38.1134387441232,38.455688473288966,259,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8809523809523809,True,9.4243281870027,1.0567645610239635,0.5939708918775113,Background range
21,29.589715471455456,25.2653816896905,24.89955773122381,4623,2018-12-14,7.0744873037762055,3.999666286890765,12,2,31.726808255000023,31.974045035000017,32.53032779,28.62673625984065,28.899224018114577,294,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.623865966464932,1.1885115369380888,-1.446794832821146,Background range
22,32.81410422296932,26.174713142520545,26.449295212797846,2777,2018-12-30,3.2169759614878863,2.0039043872021765,12,2,29.349860180000007,29.666271174285733,29.903579420000028,28.054248564379957,28.453199600000023,294,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.623865966464932,1.1885115369380888,-3.6359664765837953,Background range
2,43.79819364763869,39.14243723724319,39.189459824130765,3428,2019-02-16,9.031288775869273,5.086903063974184,2,2,47.96439710000001,48.22074860000004,48.704398430000026,44.1792885745971,44.27636288810495,253,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8605442176870748,True,8.426833472904178,1.6478439934050328,0.2474139044704891,Background range
3,45.46468514000002,40.66707831906085,40.71580208600002,1011,2019-03-04,4.630391694000004,4.3056797939999925,3,2,45.34619378000002,45.34619378000002,45.34619378000002,44.97946750025643,45.02148188000001,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",0.013605442176870748,False,9.255713324999997,1.57838768186848,-1.9765338614551244,Background range
5,46.552754840000034,41.23024764851181,40.98309125000003,110,2019-04-05,7.271837549999986,2.1482255700000223,4,2,47.65164827000001,48.254928800000016,48.52153436000003,42.815020083165976,43.13131682000005,58,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",0.19727891156462585,False,8.717302541336988,1.2942534602992204,-0.7532935469829255,Background range
6,48.932003678445255,44.15194179976048,44.43728814482601,4904,2019-04-21,8.712245295173993,5.718488375473697,4,2,52.911126545000016,53.149533440000006,53.57336792000004,49.2637165155972,50.15577652029971,294,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,8.717302541336988,1.2942534602992204,-0.0026355469851707504,Background range
7,33.81870770375003,27.302760858892945,27.94265320319668,2929,2019-05-07,8.71151571680334,4.47215510640644,5,2,36.27135068000001,36.65416892000002,37.21130618000001,32.0556450985067,32.41480830960312,224,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",0.7619047619047619,True,9.526327090928367,2.659472256821113,-0.20665105310054177,Background range
